,_id,,brand,title,price/value,inStock,description,stars,seller/name,reviewsCount,reviewsLink,url,thumbnailImage
10,64cf3eac38640eb668066ae5,10,WOTOBEUS,"WOTOBEUS GaN USB C Charger, 105W Cell Phone Charging Station, PD 100W Type-C Laptop Power Adapter, 1500W Power Strip with 2 AC Outlet Extenders for iPhone 14 Samsung PPS45W Fast Charging iPad MacBook",79.99,True,,,WOTOBEUS Direct,,,https://www.amazon.com/dp/B0C5J78R5P,https://m.media-amazon.com/images/I/61sg5fSiouL.__AC_SX300_SY300_QL70_FMwebp_.jpg
11,64cf3eac38640eb668066ae6,11,Marshall,"Marshall Middleton Portable Bluetooth Speaker,Black and Brass",,False,"Carry the heaviest portable sound in your hand. Middleton has a quad-speaker set-up to ensure the ultimate immersive experience wherever you roam. Control playback and adjust the bass and treble using the top-mounted controls or the dedicated app. Built-in Dynamic Loudness adjusts the tonal balance of the sound to ensure your music sounds brilliant at every volume. Middleton utilises True Stereophonic, a unique form of multi-directional stereo sound from Marshall. Experience superior spatial and binaural sound that flows around you and fills any space. This is absolute 360° sound – where every spot is a sweet spot.Middleton is equally at home in the festival mud or on your polished sideboard thanks to its iconic yet durable design. With a rugged IP67 dust and water-resistant build, a bit of rain and dirt won’t get under its skin. Middleton’s sturdy build comprises 55% post-consumer recycled plastic and is completely PVC-free. This speaker drops you straight into your music with no trouble or fuss – just pair, play and enjoy 20+ hours of portable playtime on a single charge. When the power is drained, plug Middleton in for 4.5 hours to return to full battery. Keep the music going when your phone battery is low, charge your device on the move with Middleton’s trusty power bank feature. Middleton also connects to other Middleton speakers, amplify the sound with Stack Mode and discover a sound as big as your imagination. Stacked or solo, Middleton fills whatever space you’re in with colossal sound.",4.4,Electronic Express,156.0,/Marshall-Middleton-Portable-Bluetooth-Speaker/product-reviews/B0BTHL673V/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/dp/B0BTHL673V,https://m.media-amazon.com/images/I/71tgRKPg-EL.__AC_SX300_SY300_QL70_FMwebp_.jpg
12,64cf3eac38640eb668066ae7,12,DJI,"DJI Osmo Mobile SE Intelligent Gimbal, 3-Axis Phone Gimbal, Portable and Foldable, Android and iPhone Gimbal with ShotGuides, Smartphone Gimbal with ActiveTrack 6.0, Vlogging Stabilizer",,False,"Overview Osmo Mobile SE has a compact foldable design and quick-release magnetic phone clamp to film at a moment's notice. A new status display panel allows you to switch between gimbal modes and shooting functions. You're ready to film quickly and effortlessly to catch life's exciting moments. Features Timelapse: Use Timelapse, Motionlapse, or Hyperlapse to capture clouds passing by, the pace of a city, or emphasize your progress on a creative project.  Panorama: Capture stunning 270° photos that immersively capture your environment. Or use CloneMe panorama to take fun photos where you can be your own twin.  Gesture Control: Start and stop shooting with just a gesture of your hand. Whether recording a dance routine or taking a group photo, effortlessly capture at a distance.  Notes 1. Tested when following a single subject.  2. LightCut is a smartphone editing app recommended by DJI.",4.4,Amazon.com,1529.0,/Smartphone-Stabilizer-Magnetic-Portable-Foldable/product-reviews/B0B7XCG225/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/dp/B0B7XCG225,https://m.media-amazon.com/images/I/51C14VcBgyL.__AC_SX300_SY300_QL70_FMwebp_.jpg
13,64cf3eac38640eb668066ae8,13,Marshall,"Marshall Acton III Bluetooth Home Speaker, Black",,False,"This new generation of the home line-up has an even wider soundstage than its predecessor, re-engineered for a more immersive experience. This new generation has tweeters angled outwards and updated waveguides to deliver a consistently solid sound that is so wide it chases you around the room. Experience a balanced sound, with crisp, soaring treble and controlled, rumbling bass. Built-in Dynamic Loudness adjusts the tonal balance of the sound, ensuring your music sounds brilliant at every volume, while Placement Compensation corrects for any nearby reflective surfaces that may affect the sound.Marshall has taken its signature rock ’n’ roll home speaker line-up and given it a stripped-back look that makes a loud statement. Its iconic design knocks all other speakers off the shelf. Generation III is ready for the future of Bluetooth technology and has been built to deliver next-generation Bluetooth features the moment they are available. Over 55 years of sound knowledge is combined with future-proof technology to completely immerse you in your music.",4.7,Electronic Express,121.0,/Marshall-Acton-Bluetooth-Speaker-Black/product-reviews/B0BC27MM5Z/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/dp/B0BC27MM5Z,https://m.media-amazon.com/images/I/61MuPwDgl6L.__AC_SY300_SX300_QL70_FMwebp_.jpg
14,64cf3eac38640eb668066ae9,14,Skullcandy,"Skullcandy Crusher ANC Over-Ear Noise Canceling Wireless Headphones with Sensory Bass, 24 Hr Battery, Microphone, Works with Bluetooth Devices - Black",,False,"Behold the most immersive headphones ever made. Skullcandy crusher ANC combines adjustable sensory bass, active noise cancellation, and personal sound to deliver deeper, unparalleled sound that’s flawlessly tuned for your unique hearing.",4.4,Amazon.com,1666.0,/Skullcandy-Personalized-Canceling-Wireless-Headphone/product-reviews/B07VTCLHYG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/dp/B07VTCLHYG,https://m.media-amazon.com/images/I/71CYtWobfTL.__AC_SX300_SY300_QL70_FMwebp_.jpg
15,64cf3eac38640eb668066aea,15,DEWALT,"DEWALT 20V MAX Bluetooth Radio, 100 ft Range, Battery and AC Power Cord Included, Portable for Jobsites (DCR025)",,False,"The DCR025 DEWALT radio charger is designed to be the most versatile Jobsite Radio Charger on the market. The unit is able to run off and charge DEWALT slide pack battery packs including 20V MAX* and FLEXVOLT 20V/60V MAX* at 3 AMPs when plugged into an AC outlet. The bluetooth radio speaker is designed to include woofers, tweeters and air ports to provide clear and rich sound at all volume levels. An over sized device storage box protects devices from worksite conditions and includes an Aux and 2.1 AMP USB charging port for convenient device charging. 2 AC Power outlets on the side of the unit allows you to plug in additional tools or chargers without occupying additional outlets on the wall. AVRCP (Audio Visual Remote Control Protocol) allows you to control your device from the radio interface so you can keep the device in a safe place and skip to the next song or hit replay on the radio interface.",4.6,JBTools,1985.0,/DEWALT-DCR025-Bluetooth-Radio-Charger/product-reviews/B01H9BLN3K/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/dp/B01H9BLN3K,https://m.media-amazon.com/images/I/81m-k3PFzGL.__AC_SX300_SY300_QL70_FMwebp_.jpg
16,64cf3eac38640eb668066aeb,16,EarFun,"EarFun Air Pro 3 Noise Cancelling Wireless Earbuds, Qualcomm® aptX™ Adaptive Sound, 6 Mics CVC 8.0 ENC, Bluetooth 5.3 Earbuds, Multipoint Connection, 45H Playtime, App Customize EQ, Wireless Charging",,False,,4.4,EarFun US,2037.0,/EarFun-Air-Pro-Cancelling-Multipoint/product-reviews/B0BNNMYSGQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/dp/B0BNNMYSGQ,https://m.media-amazon.com/images/I/61dDIKxp6sL.__AC_SX300_SY300_QL70_FMwebp_.jpg
17,64cf3eac38640eb668066aec,17,Sennheiser Consumer Audio,"SENNHEISER HD 660S2 - Wired Audiophile Stereo Headphones with Deep Sub Bass, Optimized Surround, Transducer Airflow, Vented Magnet System and Voice Coil – Black",,False,"From thundering timpani, to the melodic sound of a guitar, the impressive singing voice of your favorite artist, or the beat of electronic dance music, nothing creates drama like powerful bass. Ideal for music lovers, the non-fatiguing, high-end HD 660S2 now delivers even more impact and emotion. Our engineers optimized the HD 660S's surround, transducer airflow, and coil to double the sound pressure at the lowest octaves. You can feel the lowest note on the piano (27.5 Hz) or the kick of the bass drum (45-60 Hz) as if you were there at the recording studio, allowing you to pick out individual instruments and discover new sonic details. The relaxed sound and open-black design make it an extremely comfortable headphone that is also suitable for long listening sessions. The headphone's warm, relaxed sound is reflected in its timeless design and elegant bronze accents. With warm tuning, smooth treble and strong bass, the standard-setter for extended listening is now also the standard for extended bass.",4.4,Adorama,72.0,/SENNHEISER-660S2-Audiophile-Headphones-Transducer/product-reviews/B0BRT1ZN7Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/dp/B0BRT1ZN7Q,https://m.media-amazon.com/images/I/71orcWeKkpL.__AC_SX300_SY300_QL70_FMwebp_.jpg
18,64cf3eac38640eb668066aed,18,Soundcore,"Soundcore by Anker Space A40 Auto-Adjustable Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, 50H Playtime, Hi-Res Sound, Comfortable Fit, App Customization, Wireless Charge",79.0,True,,4.3,AnkerDirect,4243.0,/soundcore-Adaptive-Cancelling-Comfortable-Customization/product-reviews/B0B1LVC5VZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/dp/B0B1LVC5VZ,https://m.media-amazon.com/images/I/51KS2bIVX5L.__AC_SX300_SY300_QL70_FMwebp_.jpg
19,64cf3eac38640eb668066aee,19,SureCall,"SureCall Flare 3.0 Cell Phone Signal Booster for Home & Office up to 3500 sq ft, Boosts 5G/4G LTE, Yagi Outdoor Antenna, Multi-User, Verizon AT&T Sprint T-Mobile, FCC Approved, USA Company",,False,"Boost your cell signal in your home with the SureCall Flare 3.0 The SureCall Flare 3.0 4G booster kit is an easy-to-use cell phone signal booster for home. It boosts 4G, LTE, and 3G signal speed for all carriers and phones. Bundled with a powerful yagi directional antenna, you get an extra 9 dB of gain compared to the normal Flare. The Surecall Flare 3.0 cellular signal booster combines the booster and indoor antenna to streamline the system's design for easier installation and an attractive, low-profile appearance. The stylish one-piece base unit is designed to be placed on an open tabletop or shelf for clearer and more reliable voice and data performance. The two pieces are connected via the included 50ft premium RG-6 coaxial cable. Kit includes a yagi directional antenna that reaches distant cell towers. The Flare 3.0 4G signal booster uses a yagi directional antenna to provide more gain to your amplifier. With strong outside signal, you can expect up to 3,000 sq ft of indoor coverage. With weaker outside signal, that coverage may decrease to around 1500 sq ft. The Surecall Flare 3.0 cell phone signal repeater works with all carriers in the United States and Canada: AT&T, T-Mobile, Verizon, Sprint, Straight Talk, Trackphone and U.S. Cellular. Get your Flare 3.0 cellular booster today for the most stylish, simplest solution to solve your poor signal issues.",3.8,Signal Boosters,586.0,/SureCall-Flare-Voice-Signal-Booster/product-reviews/B07KBKYV1C/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/dp/B07KBKYV1C,https://m.media-amazon.com/images/I/71GvzmBc80L.__AC_SX300_SY300_QL70_FMwebp_.jpg
